DateTime,TrialStartTime,TimeSinceStart,Date,Day_numrecord,Time,Trial,Treatment,Cline,Cline_seg,Urch_STILL,Urch_MOVING,Urch_WALL,urch_GRAZE,urch_TOUCHKELP,urch_CREVICE,TOTAL_clinesegURCH,Pyc_position,Pyc_moving,Pyc_touching_urch,Pyc_eating_urch,Notes
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,4,R,1,0,0,0,1,0,1,0,0,0,0,
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,5,L,1,1,2,0,0,0,2,0,0,0,0,
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,5,R,0,1,0,0,1,0,1,0,0,0,0,
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,6,L,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,6,R,0,0,0,0,0,0,0,1,0,0,0,
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,7,L,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,7,R,0,1,0,1,0,0,1,0,0,0,0,
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,8,L,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,8,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,9,L,1,0,1,0,0,0,1,0,0,0,0,
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,9,R,1,0,1,0,0,0,1,0,0,0,0,
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,10,L,2,1,0,0,0,0,3,0,0,0,0,
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,10,R,1,0,1,0,0,0,1,0,0,0,0,
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,11,L,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,11,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,12,L,2,0,1,1,0,0,2,0,0,0,0,
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,12,R,2,0,1,1,0,0,2,0,0,0,0,
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,1,L ,2,0,1,1,0,0,2,0,0,0,0,
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,1,R,2,0,0,0,0,0,2,0,0,0,0,
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,2,L,2,0,0,0,1,1,2,0,0,0,0,
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,2,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,3,L,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,3,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,4,L,2,0,0,2,0,0,2,0,0,0,0,
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,4,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,5,L,1,0,0,0,0,0,1,0,0,0,0,
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,5,R,1,0,0,0,0,0,1,0,0,0,0,
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,6,L,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,6,R,0,0,0,0,0,0,0,1,0,0,0,
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,7,L,1,0,0,0,0,0,1,0,0,0,0,
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,7,R,0,1,0,0,0,0,1,0,0,0,0,
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,8,L,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,8,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,9,L,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,9,R,2,0,0,1,0,1,2,0,0,0,0,
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,10,L,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,10,R,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,11,L,3,0,0,3,0,0,3,0,0,0,0,
7/07/2023 10:03:00,7/07/2023 09:25:00,0:38:00,7/7/23,1_1,10:03,1,Active 2,11,R,0,0,0,0,0,0,0,0,0,0,0,
