"","Treatment","Trial","Rep_per_trial","Date_before","Time_before","Date_after","Time_after","Trial_Temp","Tank","Kelp_ID","kelp color","Kelp_weight_before_g","length before cm","Kelp_weight_after_g","avg_pyc_position","avg_dist_from_pyc","pyc_pcnt_activity","pyc_avg_dist_moved","weight_diff","weight_pcnt_change","up_down","up_down_ratio","pos_weight_pcnt_change"
"34","Active","3","1","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,1,10,"Red",27.3169,20,27.4073,10.9230769230769,5.14102564102564,8.33333333333333,0.583333333333333,-0.0903999999999989,-0.330930669292632,"Up",5,1e-05
"35","Active","3","1","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,1,11,"Red",25.0397,20,25.3876,10.9230769230769,5.14102564102564,8.33333333333333,0.583333333333333,-0.347899999999999,-1.38939364289508,"Down",5,1e-05
"36","Active","3","1","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,1,12,"Red",25.8127,20,20.7536,10.9230769230769,5.14102564102564,8.33333333333333,0.583333333333333,5.0591,19.599267027471,"Down",5,19.599267027471
"37","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,1,"Green",37.8773,20,34.6575,11.5384615384615,5.30769230769231,8.33333333333333,0.5,3.2198,8.5006059037999,"Up",11,8.5006059037999
"38","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,2,"Green",38.2048,20,38.2191,11.5384615384615,5.30769230769231,8.33333333333333,0.5,-0.0142999999999986,-0.0374298517463739,"Up",11,1e-05
"39","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,3,"Green",31.1125,20,30.7217,11.5384615384615,5.30769230769231,8.33333333333333,0.5,0.390800000000002,1.2560867818401,"Up",11,1.2560867818401
"40","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,4,"Green",30.6621,20,30.5226,11.5384615384615,5.30769230769231,8.33333333333333,0.5,0.139499999999998,0.454959053685162,"Up",11,0.454959053685162
"41","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,5,"Green",32.2208,20,31.5667,11.5384615384615,5.30769230769231,8.33333333333333,0.5,0.654099999999996,2.03005511967424,"Up",11,2.03005511967424
"42","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,6,"Green",34.8155,20,34.8077,11.5384615384615,5.30769230769231,8.33333333333333,0.5,0.00780000000000314,0.0224038143930236,"Up",11,0.0224038143930236
"43","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,7,"Green",28.6735,20,28.0075,11.5384615384615,5.30769230769231,8.33333333333333,0.5,0.666,2.32270214658134,"Up",11,2.32270214658134
"44","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,8,"Green",28.3357,20,27.5072,11.5384615384615,5.30769230769231,8.33333333333333,0.5,0.828499999999998,2.92387341763217,"Up",11,2.92387341763217
"45","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,9,"Green",31.3798,20,24.1715,11.5384615384615,5.30769230769231,8.33333333333333,0.5,7.2083,22.9711470436395,"Up",11,22.9711470436395
"46","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,10,"Green",20.4313,20,19.8302,11.5384615384615,5.30769230769231,8.33333333333333,0.5,0.601099999999999,2.94205459270824,"Up",11,2.94205459270824
"47","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,11,"Green",18.7075,20,17.1827,11.5384615384615,5.30769230769231,8.33333333333333,0.5,1.5248,8.15074168114392,"Up",11,8.15074168114392
"48","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,12,"Green",18.8145,20,14.3372,11.5384615384615,5.30769230769231,8.33333333333333,0.5,4.4773,23.7970714076909,"Down",11,23.7970714076909
"49","Active","4","1","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,3,1,"Green",33.1517,20,31.7275,11.3076923076923,5.2051282051282,25,0.916666666666667,1.4242,4.29600895278372,"Up",11,4.29600895278372
"50","Active","4","1","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,3,2,"Green",33.2245,20,33.3732,11.3076923076923,5.2051282051282,25,0.916666666666667,-0.148699999999998,-0.447561287604021,"Up",11,1e-05
"51","Active","4","1","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,3,3,"Green",35.3252,20,36.0712,11.3076923076923,5.2051282051282,25,0.916666666666667,-0.745999999999995,-2.11180686875091,"Up",11,1e-05
"52","Active","4","1","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,3,4,"Green",32.9894,20,27.4117,11.3076923076923,5.2051282051282,25,0.916666666666667,5.5777,16.9075521228031,"Up",11,16.9075521228031
"53","Active","4","1","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,3,5,"Green",31.6559,20,29.218,11.3076923076923,5.2051282051282,25,0.916666666666667,2.4379,7.70125000394871,"Up",11,7.70125000394871
"54","Active","4","1","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,3,6,"Green",34.4275,20,30.2569,11.3076923076923,5.2051282051282,25,0.916666666666667,4.1706,12.1141529300704,"Up",11,12.1141529300704
"55","Active","4","1","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,3,7,"Green",30.7631,20,26.8011,11.3076923076923,5.2051282051282,25,0.916666666666667,3.962,12.8790661539312,"Up",11,12.8790661539312
"56","Active","4","1","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,3,8,"Green",31.928,20,30.6132,11.3076923076923,5.2051282051282,25,0.916666666666667,1.3148,4.11801553495365,"Up",11,4.11801553495365
"57","Active","4","1","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,3,9,"Green",23.8769,20,22.6492,11.3076923076923,5.2051282051282,25,0.916666666666667,1.2277,5.14178976332773,"Up",11,5.14178976332773
"58","Active","4","1","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,3,10,"Green",25.0849,20,8.1148,11.3076923076923,5.2051282051282,25,0.916666666666667,16.9701,67.6506583641952,"Up",11,67.6506583641952
"59","Active","4","1","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,3,11,"Green",28.3561,20,28.3981,11.3076923076923,5.2051282051282,25,0.916666666666667,-0.041999999999998,-0.14811627833164,"Up",11,1e-05
"60","Active","4","1","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,3,12,"Green",29.7173,20,25.8124,11.3076923076923,5.2051282051282,25,0.916666666666667,3.9049,13.1401574167236,"Down",11,13.1401574167236
"61","Active","4","2","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,4,1,"Black",16.4688,20,17.9906,8.25,4.19444444444445,72.7272727272727,2.09090909090909,-1.5218,-9.24050325463907,"Up",2,1e-05
"62","Active","4","2","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,4,2,"Black",21.4065,20,22.3917,8.25,4.19444444444445,72.7272727272727,2.09090909090909,-0.985199999999999,-4.60234041062294,"Up",2,1e-05
"63","Active","4","2","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,4,3,"Black",23.8953,20,18.1128,8.25,4.19444444444445,72.7272727272727,2.09090909090909,5.7825,24.199319531456,"Up",2,24.199319531456
"64","Active","4","2","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,4,4,"Black",19.9045,20,16.3917,8.25,4.19444444444445,72.7272727272727,2.09090909090909,3.5128,17.6482704915974,"Up",2,17.6482704915974
"65","Active","4","2","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,4,5,"Black",25.1658,20,20.1737,8.25,4.19444444444445,72.7272727272727,2.09090909090909,4.9921,19.8368420634353,"Up",2,19.8368420634353
"66","Active","4","2","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,4,6,"Black",23.2461,20,23.1504,8.25,4.19444444444445,72.7272727272727,2.09090909090909,0.0956999999999972,0.411681959554494,"Up",2,0.411681959554494
"67","Active","4","2","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,4,7,"Black",26.0322,20,26.5341,8.25,4.19444444444445,72.7272727272727,2.09090909090909,-0.501899999999999,-1.92799686542051,"Up",2,1e-05
"68","Active","4","2","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,4,8,"Black",24.1691,20,23.8736,8.25,4.19444444444445,72.7272727272727,2.09090909090909,0.295500000000001,1.22263551394136,"Up",2,1.22263551394136
"69","Active","4","2","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,4,9,"Black",25.0486,20,23.7009,8.25,4.19444444444445,72.7272727272727,2.09090909090909,1.3477,5.38034061783892,"Down",2,5.38034061783892
"70","Active","4","2","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,4,10,"Black",28.1393,20,27.945,8.25,4.19444444444445,72.7272727272727,2.09090909090909,0.194299999999998,0.690493366928098,"Down",2,0.690493366928098
"71","Active","4","2","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,4,11,"Black",31.4976,20,26.4016,8.25,4.19444444444445,72.7272727272727,2.09090909090909,5.096,16.1790104642893,"Down",2,16.1790104642893
"72","Active","4","2","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,4,12,"Black",30.8838,20,20.1023,8.25,4.19444444444445,72.7272727272727,2.09090909090909,10.7815,34.9098880319132,"Down",2,34.9098880319132
"73","Active","5","1","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,1,1,"Red",26.0121,20,16.7823,7.75,4.86111111111111,54.5454545454545,2.81818181818182,9.2298,35.4827176583206,"Up",1.4,35.4827176583206
"74","Active","5","1","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,1,2,"Red",28.2287,20,18.1222,7.75,4.86111111111111,54.5454545454545,2.81818181818182,10.1065,35.8022154757392,"Up",1.4,35.8022154757392
"75","Active","5","1","7/22/23",12:00:00,"7/25/23",18:00:00,12.5,1,3,"Red",28.7822,20,19.8767,7.75,4.86111111111111,54.5454545454545,2.81818181818182,8.9055,30.9409982558665,"Up",1.4,30.9409982558665
